time,wavelength_shift
4.039959,0.0010777139860419385
4.059959,0.0011109307692575387
4.079959,0.0005170146853500333
4.099959,0.0004443806527128206
4.119959,0.0002827256410610216
4.139959,0.0006958958042241986
4.159959,0.0006213270396656187
4.179958,0.0003569913753374768
4.199958,0.0002217699301171668
4.219958,-0.0005137778554211512
4.239958,-0.0005768314684777517
4.259957,-0.0009741508157877313
4.279957,-0.0012602813519118998
4.299957,-0.0005578571094993576
4.319957,-0.000717274358913744
4.339957,8.750419585280508e-05
4.359956,-8.860303024652044e-05
4.379956,0.00044808694643360737
4.399956,0.0005483200466627477
4.419956,0.00021209627044090036
4.439956,0.0004124459207808049
4.459955,-0.00027270559436074865
4.479955,-0.0005749200465727459
4.499955,-0.00048095734260983087
4.519955,-0.0007610039626537834
4.539955,0.0003715135198425665
4.559954,0.0006205811189099212
4.579954,0.0004759424242759981
4.599954,2.1746620088998166e-05
4.619954,-0.00026811351976383765
4.639954,0.00012055780890246707
4.659953,1.1000699347947659e-05
4.679953,9.067435902238427e-05
4.699953,0.0008286696970105554
4.719953,0.0010845904429248846
4.739953,0.0021480869463980238
4.759952,0.001366268764598009
4.779952,0.000725476223816856
4.799953,0.0001646370629870336
4.819952,-2.836993001603162e-05
4.839952,-0.000602029603668449
4.859951,-0.0007901414917786981
4.879951,-0.0010665983682340203
4.899951,-0.0011435214451589884
4.919951,-0.0007693955710454053
4.93995,-0.0010351298367765678
4.95995,-0.0013614701631091783
4.97995,-0.001345386247017639
4.99995,-0.0013952696968949274
5.01995,-0.0010770878787134776
5.039949,-0.0011969013985244823
5.059949,-0.0008334981351265783
5.079949,-0.0010675307691598267
5.099949,-0.0008183466199841664
5.119949,-0.0003605377621884651
5.139949,-0.0009013303029745796
5.159948,-0.0007873442889949178
5.179948,-0.0013178804195208363
5.199948,-0.001676621678257906
5.219948,-0.0012780202796611618
5.239948,-0.0009281368297817977
5.259947,-0.0005118198134696427
5.279947,0.00010202634036743521
5.299947,0.00029911258745376595
5.319947,0.0004784832168241558
5.339947,0.0005958491841900777
5.359946,0.0005909773893210428
5.379946,0.00031195641030120166
5.399946,0.00019237599072005837
5.419946,0.0005909773893146825
5.439945,0.0006706976690319113
5.459945,0.0011091592074862098
5.479945,0.0013438911422132835
5.499945,0.0016091825175042639
5.519945,0.0015538212121449302
5.539945,0.001564893473218917
5.559944,0.0011242174825504571
5.579944,0.0006751265734628841
5.599944,0.0007282734266091166
5.619944,0.00026323846157958185
5.639944,-0.00033289207454208534
5.659944,-8.708787874314473e-05
5.679943,0.00019857645691600027
5.699943,0.0007278305361625744
5.719943,0.0006237512820837407
5.739943,0.000624194172524453
5.759942,-2.813519411295389e-07
5.779942,-0.00012871958037520814
5.799942,-0.0005981834498309457
5.819942,-0.0008904911421325746
5.839942,-0.0010499317015686222
5.859941,-0.0002744305360786852
5.879941,0.0006224226107631939
5.899941,0.0010542407925750086
5.919941,0.0011804645687954556
5.939941,0.0010010939394245358
5.95994,0.00047582587416451213
5.97994,-9.993170158634049e-05
5.99994,-0.0007421228437699838
6.01994,-0.0012071578087995186
6.039939,-0.0012514468530880458
6.059939,-0.00038072424237751046
6.079939,-4.1913053567892774e-05
6.099939,-0.0001504212120729293
6.119939,0.0001308142191605431
6.139939,-0.00011941888106884019
6.159938,-0.0006575307691741798
6.179938,-0.0009653396269797083
6.199938,-0.0010428454544854258
6.219938,-0.0014082300698670996
6.239938,-0.001255432867073536
6.259937,-0.0006996053612549056
6.279937,-0.0007864118880585108
6.299937,-0.0007864118880585107
6.319937,-0.0004719596736099682
6.339936,-0.0009396519812949066
6.359936,-0.0009418664335117181
6.379936,-0.0005029620046161772
6.399936,-0.0012053862470292496
6.419936,-0.0006805610722115281
6.439935,-0.0006960622377133075
6.459935,-0.0004458291374833943
6.479935,-0.0006074841491362535
6.499935,-0.0005034048950574193
6.519935,-0.00036123706289183045
6.539935,-0.0010698617715040246
6.559934,-0.0008656892773344975
6.579934,-0.0007660389276845164
6.599934,-0.0010831484847852826
6.619934,-4.191305356365295e-05
6.639934,0.0002880403263856092
6.659933,0.0001972477855933335
6.679933,0.00040319184153365966
6.699933,0.0008456393939760985
6.719933,0.0011733783217064296
6.739933,0.0006591825175166822
6.759932,0.0005196720280064969
6.779932,0.0002889261072643835
6.799932,1.8762937101718036e-05
6.819932,0.0003465018648352288
6.839931,0.0005103713287022491
6.859931,-0.00034263566429234535
6.879931,0.00019990512824131688
6.899931,0.0009488328671591977
6.919931,0.0011751498834735182
6.939931,0.0007362454545785076
6.95993,5.8623076964572476e-05
6.97993,0.00013834335668551134
6.99993,-6.494335660100146e-05
7.01993,0.0003624459207835508
7.039929,0.00031594242428139224
7.059929,-0.0007226356642832438
7.079929,-0.0005587662004167535
7.099929,0.0005639610722939642
7.119929,0.0004107209790575683
7.139929,0.000273424941764194
7.159928,7.806363639845023e-05
7.179928,-0.0004438244754769035
7.199928,-0.0007790226106693395
7.219928,-0.0005338011654490279
7.239928,-0.0006293722610173338
7.259927,-0.0013093256409611562
7.279927,-0.0012494188810535335
7.299927,-0.0007149433565875668
7.319927,-0.00036004825169860057
7.339927,0.0001978771562136953
7.359926,-0.00019147016312742352
7.379926,-0.0008013769230165034
7.399926,-0.0009285564101934284
7.419926,-0.0012067382283682771
7.439925,-0.0012333349649683548
7.459925,-0.0013440575756896722
7.479925,-0.001498603030234494
7.499925,-0.0018723559439834787
7.519925,-0.0007535913752418903
7.539924,-0.0010317965034452902
7.559924,-0.0009486962703391512
7.579924,-0.0008748268064659166
7.599924,-0.0008685331001727301
7.619924,-0.0008398617715022386
7.639924,-0.0005049200465698055
7.659923,-0.0004740109556603114
7.679923,-0.0005199317015817204
7.699923,-0.000993451515095352
7.719923,-0.0005384398600956214
7.739923,-0.0008497452213962458
7.759922,-0.000298346620005408
7.779922,-0.0002562720279310424
7.799922,-0.0002801881118498149
7.819922,9.626876460266557e-05
7.839922,-9.240256406349199e-05
7.859921,0.00024281888115166493
7.879921,7.74575757981596e-05
7.899921,-0.00019174988340166764
7.919921,0.00040906596740196486
7.93992,0.0006303946387241049
7.95992,0.0007554762238052446
7.97992,0.0005568981352329588
7.99992,-0.00028482680647467807
8.01992,7.568601403796078e-05
8.039919,-0.00036531631695389545
8.059919,7.582587418435799e-05
8.079919,-0.00041370792533356864
8.099919,0.00016167669004049526
8.119919,0.00012030139866631455
8.139919,-0.0005887662004099121
8.159918,0.00034736433572414257
8.179918,0.0003959424243163257
8.199918,0.0009149400933159542
8.219918,0.001226734965108563
8.239918,0.0011975041958816332
8.259917,0.0011987862471609777
8.279917,0.0005126557110343949
8.299917,0.00044869300706569824
8.319917,-0.00030582913745843393
8.339916,-0.0011809107225508588
8.359916,-0.00019072424236589585
8.379916,-0.00046603892767555036
8.399916,0.00019118717953954892
8.419916,0.0004103013986480572
8.439915,0.0009827955711357956
8.459915,0.0013865018648362066
8.479915,0.0011665717949123173
8.499915,0.001083937762289752
8.519915,0.0010593456876961654
8.539914,0.0006305578089133633
8.559914,0.0007498118881557399
8.579914,0.00045074428908795084
8.599914,0.0004582268065658871
8.619914,0.0003819097902459794
8.639914,0.00042363473197210764
8.659913,0.00022549953384424425
8.679913,-0.00022927902091661467
8.699913,-0.00036797365960293895
8.719913,-0.00019058438221472866
8.739913,-6.797365960722304e-05
8.759912,-0.0001274142190487621
8.779912,5.090745926525494e-05
8.799912,0.00019776060611333954
8.819912,-0.00010666829830910901
8.839911,0.00011337832173103625
