Feature,Source,Impact_Only,Bare_n,Bare_Mean,Bare_SD,Bare_CV_pct,Bare_CI_95_Lower,Bare_CI_95_Upper,Copper_n,Copper_Mean,Copper_SD,Copper_CV_pct,Copper_CI_95_Lower,Copper_CI_95_Upper,Steel_n,Steel_Mean,Steel_SD,Steel_CV_pct,Steel_CI_95_Lower,Steel_CI_95_Upper
noise_std_nm,Phase5_Baseline,False,7,0.0005938743636356858,0.00010583864533523517,17.821723215545678,0.0004959899424896521,0.0006917587847817194,7,0.0019324454265727286,0.00015019450610423795,7.772250850603014,0.0017935386761814957,0.0020713521769639615,7,0.0008046992936945,0.00017937845054504867,22.29136423389838,0.0006388018963680331,0.0009705966910209669
Dominant_Frequency,Phase6_Impact,True,7,1.4144413287942352,0.9230065102225895,65.25590644395425,0.5608026821449976,2.268079975443473,3,2.1452359973803707,1.245859714082146,58.07564834841074,-0.9496511019215719,5.240123096682313,2,1.9802178582164687,0.7001127422664069,35.35533928054665,-4.310045563323824,8.270481279756762
Spectral_Energy,Phase6_Impact,True,7,0.12987038665516673,0.1808229412451897,139.23338946030302,-0.0373629417538105,0.29710371506414396,3,0.031706199910366904,0.0054399525660839615,17.15737799377614,0.018192608590824756,0.04521979122990905,2,0.0034994738488102,0.0010084126489126161,28.816121865161826,-0.005560754334924065,0.012559702032544466
Spectral_Entropy,Phase6_Impact,True,7,4.727136592623599,0.24417825490330355,5.165457991722271,4.501309371744559,4.952963813502639,3,4.787433184771815,0.09643974741471913,2.014435370533861,4.547863571307235,5.027002798236395,2,4.842618600461739,0.023151389068060246,0.47807583000347753,4.634611622412406,5.050625578511072
Spectral_Centroid,Phase6_Impact,True,7,6.210963845286449,0.662316070634441,10.66366005554964,5.5984236433174726,6.823504047255426,3,6.562435347164791,0.28641157295112146,4.364409823479047,5.850949557715179,7.273921136614403,2,6.51515880230405,0.06785844231134665,1.041547019350455,5.905474887493453,7.124842717114648
Bandwidth,Phase6_Impact,True,7,6.3279626809745295,0.30304685313755075,4.789011383532376,6.0476910873091025,6.6082342746399565,3,6.213516859443531,0.26066187328842405,4.1950779113483945,5.56599686999227,6.861036848894791,2,6.257463233913528,0.12817812011515856,2.0484038870651693,5.105828516064933,7.409097951762123
Approximation_Energy,Phase6_Impact,True,7,0.05218836001577872,0.08788202592816878,168.39392136790343,-0.029088958017464313,0.13346567804902176,3,0.001037196067147,0.00048291416654725876,46.55958326911166,-0.0001624292255115252,0.002236821359805525,2,3.975033173075335e-05,1.577496335212229e-05,39.685111206047594,-0.00010198209071990815,0.00018148275418141484
Detail_Energy,Phase6_Impact,True,7,0.0007857976710119363,0.0014614444426042925,185.98228227404522,-0.0005658130081336778,0.0021374083501575505,3,0.0006663573194620999,0.00022363507911077614,33.56083479225529,0.0001108169857727524,0.0012218976531514474,2,6.070668720319635e-05,3.0772034588804744e-05,50.68969500148334,-0.0002157690743344734,0.00033718244874086613
Wavelet_Energy,Phase6_Impact,True,7,0.05297415768679067,0.08751787356973764,165.20861754364543,-0.02796637558601734,0.13391469095959868,3,0.0017035533866091666,0.000682402193240493,40.05757604102908,8.372363799321811e-06,0.0033987344094190113,2,0.00010045701893392691,1.4997071236650206e-05,14.928843594805608,-3.428632015279161e-05,0.00023520035802064544
Wavelet_Entropy,Phase6_Impact,True,7,0.6463019485083615,0.7147186441783926,110.58587179381618,-0.014702550803662118,1.3073064478203853,3,1.5126447315226377,0.14964071029080675,9.892654049717112,1.140916599876139,1.8843728631691363,2,1.8511529457466447,0.18372468240227782,9.92487859117304,0.20045216631504048,3.5018537251782487
Detail_Approx_Ratio,Phase6_Impact,True,7,0.21716348647032283,0.28587717055413264,131.64145372716703,-0.047228799257859194,0.4815557721985049,3,0.6936134346436532,0.2407495782039869,34.709474496795615,0.09555832833914402,1.2916685409481623,2,1.8244763055528073,1.4981781875662576,82.11551901258137,-11.636120657288311,15.285073268393925
